"RK",TIERS,"PLAYER NAME",TEAM,"POS","BYE WEEK","SOS SEASON","ECR VS. ADP"
"114",8,"Jordan Mason",MIN,"RB40","6","4 out of 5 stars","+6"
"115",8,"Isaiah Likely",NYG,"TE12","8","3 out of 5 stars","+15"
"116",8,"Dallas Goedert",PHI,"TE13","10","4 out of 5 stars","+20"
"117",8,"Xavier Worthy",KC,"WR47","5","2 out of 5 stars","-23"
"118",8,"Mark Andrews",BAL,"TE14","13","4 out of 5 stars","+7"
"119",8,"Wan'Dale Robinson",TEN,"WR48","9","3 out of 5 stars","-4"
"120",8,"Jordan Love",GB,"QB18","11","4 out of 5 stars","-7"
"121",8,"Baker Mayfield",TB,"QB19","10","2 out of 5 stars","-3"
"122",9,"Chris Rodriguez Jr.",JAC,"RB41","7","4 out of 5 stars","+6"
"123",9,"Jayden Higgins",HOU,"WR49","8","3 out of 5 stars","+1"
"124",9,"Jake Ferguson",DAL,"TE15","14","2 out of 5 stars","+5"
"125",9,"Tyler Shough",NO,"QB20","8","3 out of 5 stars","-2"
"126",9,"Tyrone Tracy Jr.",NYG,"RB42","8","4 out of 5 stars","+8"
"127",9,"Josh Downs",IND,"WR50","13","4 out of 5 stars","-37"
"128",9,"Zach Charbonnet",SEA,"RB43","11","4 out of 5 stars","+30"
"129",9,"Jonathon Brooks",CAR,"RB44","5","1 out of 5 stars","-27"
"130",9,"Woody Marks",HOU,"RB45","8","4 out of 5 stars","+13"
"131",9,"Romeo Doubs",NE,"WR51","11","2 out of 5 stars","-14"
"132",9,"Tyler Allgeier",ARI,"RB46","14","2 out of 5 stars","+29"
"133",9,"Malik Willis",MIA,"QB21","6","3 out of 5 stars","-1"
"134",9,"Khalil Shakir",BUF,"WR52","7","4 out of 5 stars","-8"
"135",9,"Isiah Pacheco",DET,"RB47","6","5 out of 5 stars","+13"
"136",9,"KC Concepcion",CLE,"WR53","11","3 out of 5 stars","-17"
"137",9,"Matthew Golden",GB,"WR54","11","5 out of 5 stars","-26"
"138",9,"Jalen Coker",CAR,"WR55","5","2 out of 5 stars","-7"
"139",9,"C.J. Stroud",HOU,"QB22","8","4 out of 5 stars","+1"
"140",9,"Sam Darnold",SEA,"QB23","11","4 out of 5 stars","-1"
"141",9,"Rashid Shaheed",SEA,"WR56","11","3 out of 5 stars","-8"
"142",9,"Oronde Gadsden II",LAC,"TE16","7","4 out of 5 stars","+4"
"143",9,"Hunter Henry",NE,"TE17","11","4 out of 5 stars","+7"
"144",9,"Brenton Strange",JAC,"TE18","7","3 out of 5 stars","+7"
"145",9,"Juwan Johnson",NO,"TE19","8","2 out of 5 stars","+10"
"146",9,"Brian Robinson Jr.",ATL,"RB48","11","2 out of 5 stars","+22"
"147",9,"Alvin Kamara",NO,"RB49","8","3 out of 5 stars","+34"
"148",9,"Tank Bigsby",PHI,"RB50","10","4 out of 5 stars","+15"
"149",9,"Tyjae Spears",TEN,"RB51","9","3 out of 5 stars","+7"
"150",9,"Dylan Sampson",CLE,"RB52","11","3 out of 5 stars","+22"
"151",9,"Keaton Mitchell",LAC,"RB53","7","3 out of 5 stars","-14"
"152",9,"Cam Ward",TEN,"QB24","9","3 out of 5 stars","-14"
"153",9,"Jonah Coleman",DEN,"RB54","10","2 out of 5 stars","+1"
"154",9,"Houston Texans",HOU,"DST1","8","2 out of 5 stars","-"
"155",10,"Braelon Allen",NYJ,"RB55","13","3 out of 5 stars","+49"
"156",10,"Jauan Jennings",MIN,"WR57","6","5 out of 5 stars","-7"
"157",10,"Jerry Jeudy",CLE,"WR58","11","3 out of 5 stars","+21"
"158",10,"Omar Cooper Jr.",NYJ,"WR59","13","4 out of 5 stars","-16"
"159",10,"Bryce Young",CAR,"QB25","5","2 out of 5 stars","-2"
"160",10,"Denzel Boston",CLE,"WR60","11","3 out of 5 stars","-7"
"161",10,"Jalen McMillan",TB,"WR61","10","4 out of 5 stars","-17"
"162",10,"Daniel Jones",IND,"QB26","13","4 out of 5 stars","-17"
"163",10,"Chig Okonkwo",WAS,"TE20","7","1 out of 5 stars","-22"
"164",10,"Denver Broncos",DEN,"DST2","10","4 out of 5 stars","-"
"165",10,"Adonai Mitchell",NYJ,"WR62","13","4 out of 5 stars","+5"
"166",10,"Travis Hunter",JAC,"WR63","7","4 out of 5 stars","-"
"167",10,"Seattle Seahawks",SEA,"DST3","11","2 out of 5 stars","-"
"168",10,"Emanuel Wilson",SEA,"RB56","11","4 out of 5 stars","+87"
"169",10,"Kayshon Boutte",NE,"WR64","11","2 out of 5 stars","+48"
"170",10,"Los Angeles Rams",LAR,"DST4","11","2 out of 5 stars","-"
"171",10,"Philadelphia Eagles",PHI,"DST5","10","0 out of 5 stars","-"
"172",10,"Tre Tucker",LV,"WR65","13","2 out of 5 stars","-20"
"173",10,"Mike Washington Jr.",LV,"RB57","13","2 out of 5 stars","+22"
"174",10,"James Conner",ARI,"RB58","14","2 out of 5 stars","+70"
"175",10,"Jacksonville Jaguars",JAC,"DST6","7","3 out of 5 stars","-"
"176",10,"Pittsburgh Steelers",PIT,"DST7","9","5 out of 5 stars","-"
"177",10,"Tre' Harris",LAC,"WR66","7","2 out of 5 stars","-13"
"178",10,"AJ Barner",SEA,"TE21","11","3 out of 5 stars","-4"
"179",10,"Kenyon Sadiq",NYJ,"TE22","13","4 out of 5 stars","-19"
"180",10,"Stefon Diggs",FA,"WR67","-","-","-45"
"181",10,"Minnesota Vikings",MIN,"DST8","6","1 out of 5 stars","-"
"182",10,"New England Patriots",NE,"DST9","11","3 out of 5 stars","-"
"183",10,"Dalton Schultz",HOU,"TE23","8","4 out of 5 stars","-16"
"184",10,"Calvin Ridley",TEN,"WR68","9","3 out of 5 stars","+2"
"185",10,"Brandon Aubrey",DAL,"K1","14","2 out of 5 stars","-"
"186",10,"Troy Franklin",DEN,"WR69","10","2 out of 5 stars","+28"
